date,ncumul_conf
04/09/2020,2391.0
04/09/2020,107.0
05/09/2020,500.0
05/09/2020,1237.0
07/09/2020,927.0
07/09/2020,138.0
08/09/2020,2262.0
08/09/2020,2733.0
09/09/2020,614.0
09/09/2020,175.0
11/09/2020,1042.0
11/09/2020,283.0
12/09/2020,177.0
12/09/2020,8701.0
13/09/2020,1272.0
13/09/2020,641.0
15/09/2020,286.0
15/09/2020,1119.0
16/09/2020,7685.0
16/09/2020,109.0
17/09/2020,1282.0
17/09/2020,544.0
18/09/2020,158.0
18/09/2020,7299.0
20/09/2020,141.0
20/09/2020,1541.0
21/09/2020,551.0
21/09/2020,185.0
22/09/2020,33.0
22/09/2020,7481.0
24/09/2020,303.0
24/09/2020,1180.0
25/09/2020,2628.0
25/09/2020,117.0
26/09/2020,119.0
26/09/2020,2593.0
28/09/2020,313.0
28/09/2020,1201.0
29/09/2020,10423.0
29/09/2020,2666.0
30/09/2020,2632.0
30/09/2020,3580.0
01/10/2020,593.0
01/10/2020,207.0
02/10/2020,8218.0
02/10/2020,185.0
04/10/2020,1785.0
04/10/2020,212.0
05/10/2020,642.0
05/10/2020,213.0
06/10/2020,8718.0
06/10/2020,151.0
08/10/2020,1365.0
08/10/2020,1375.0
09/10/2020,139.0
09/10/2020,9208.0
10/10/2020,4436.0
10/10/2020,619.0
12/10/2020,1550.0
12/10/2020,1596.0
13/10/2020,170.0
13/10/2020,9942.0
14/10/2020,5307.0
14/10/2020,4054.0
15/10/2020,1104.0
15/10/2020,104.0
17/10/2020,797.0
17/10/2020,2042.0
18/10/2020,11317.0
18/10/2020,221.0
19/10/2020,280.0
19/10/2020,148.0
21/10/2020,309.0
21/10/2020,1602.0
22/10/2020,319.0
22/10/2020,4739.0
23/10/2020,282.0
23/10/2020,1596.0
24/10/2020,2165.0
24/10/2020,1981.0
26/10/2020,1476.0
26/10/2020,3573.0
27/10/2020,566.0
27/10/2020,22107.0
28/10/2020,6672.0
28/10/2020,12731.0
29/10/2020,640.0
29/10/2020,303.0
31/10/2020,9932.0
31/10/2020,nan
01/11/2020,27526.0
01/11/2020,14337.0
02/11/2020,3384.0
02/11/2020,2723.0
03/11/2020,365.0
03/11/2020,851.0
05/11/2020,604.0
05/11/2020,2967.0
06/11/2020,629.0
06/11/2020,10681.0
07/11/2020,788.0
07/11/2020,27916.0
08/11/2020,4254.0
08/11/2020,29968.0
10/11/2020,3444.0
10/11/2020,3026.0
11/11/2020,12263.0
11/11/2020,11194.0
12/11/2020,31514.0
12/11/2020,633.0
13/11/2020,2506.0
13/11/2020,4190.0
15/11/2020,4723.0
15/11/2020,18092.0
16/11/2020,13648.0
16/11/2020,12610.0
17/11/2020,33474.0
17/11/2020,748.0
18/11/2020,2766.0
18/11/2020,1419.0
19/11/2020,490.0
19/11/2020,38061.0
21/11/2020,19461.0
21/11/2020,nan
22/11/2020,14129.0
22/11/2020,45999.0
23/11/2020,4709.0
23/11/2020,1588.0
24/11/2020,1456.0
24/11/2020,40977.0
26/11/2020,911.0
26/11/2020,4790.0
27/11/2020,902.0
27/11/2020,17020.0
28/11/2020,22388.0
28/11/2020,1253.0
29/11/2020,5368.0
29/11/2020,44361.0
