Date,Open
1/3/2006,77.76
2/8/2006,70.65
3/10/2006,71.9
5/9/2006,87.61
6/2/2006,84.8
6/8/2006,79.8
7/6/2006,80.87
7/11/2006,73.25
7/26/2006,68.11
11/22/2006,81.6
1/25/2007,79.56
1/31/2007,74.21
2/16/2007,76.91
3/5/2007,73.01
3/23/2007,77.59
4/25/2007,76.96
5/3/2007,84.31
5/23/2007,87.65
6/27/2007,85.82
7/19/2007,91.8
8/16/2007,83.21
8/23/2007,89.34
9/11/2007,88.01
10/11/2007,96.1
10/19/2007,92.9
10/22/2007,85.35
11/7/2007,85.3
11/12/2007,79.53
11/30/2007,84.44
12/4/2007,81.88
12/12/2007,88.1
12/26/2007,86.97
1/22/2008,72.07
2/4/2008,81.23
3/10/2008,76.73
3/14/2008,79.72
3/17/2008,75.64
3/19/2008,81.24
4/14/2008,78.29
4/21/2008,83.0
4/29/2008,77.19
5/20/2008,79.04
7/8/2008,69.92
7/9/2008,70.1
7/22/2008,68.12
7/24/2008,72.4
8/4/2008,70.03
8/12/2008,74.54
9/15/2008,68.02
9/19/2008,74.24
10/7/2008,63.75
10/10/2008,51.83
10/14/2008,61.96
10/16/2008,54.76
10/29/2008,64.28
11/10/2008,65.98
11/13/2008,59.23
11/14/2008,63.22
11/21/2008,57.78
11/28/2008,65.18
12/12/2008,54.27
12/18/2008,58.9
12/26/2008,55.55
1/9/2009,58.8
1/23/2009,53.01
1/30/2009,56.59
2/3/2009,51.25
2/10/2009,53.86
3/9/2009,41.31
3/13/2009,48.32
3/23/2009,46.8
4/17/2009,55.03
4/21/2009,52.26
4/30/2009,58.18
7/10/2009,58.68
8/5/2009,72.35
8/19/2009,69.35
9/17/2009,75.34
10/2/2009,71.81
10/23/2009,78.42
11/2/2009,73.86
11/11/2009,78.09
12/8/2009,76.35
12/14/2009,82.01
12/30/2009,84.0
1/20/2010,84.83
2/9/2010,78.28
4/19/2010,83.61
4/27/2010,89.92
5/7/2010,83.66
5/18/2010,85.09
5/21/2010,78.42
5/28/2010,81.53
6/8/2010,74.74
6/21/2010,81.96
6/30/2010,78.21
7/14/2010,83.13
7/20/2010,80.48
7/27/2010,87.16
8/9/2010,87.73
9/1/2010,79.51
10/7/2010,89.86
10/26/2010,90.68
11/1/2010,84.57
11/5/2010,87.46
11/30/2010,83.25
12/6/2010,87.0
12/8/2010,83.23
12/21/2010,87.52
1/7/2011,86.55
1/10/2011,85.72
2/18/2011,92.73
2/25/2011,89.75
3/9/2011,93.52
3/17/2011,88.59
4/6/2011,93.94
4/19/2011,91.65
5/2/2011,97.58
5/25/2011,91.54
6/1/2011,94.33
6/3/2011,90.19
6/27/2011,91.08
7/7/2011,97.73
7/22/2011,96.09
8/11/2011,78.69
8/15/2011,82.66
8/19/2011,76.65
8/25/2011,80.45
8/26/2011,77.73
9/1/2011,83.02
9/12/2011,76.21
9/16/2011,81.43
9/23/2011,72.64
9/28/2011,76.42
10/4/2011,70.13
10/14/2011,78.94
10/18/2011,76.18
10/24/2011,80.32
10/25/2011,76.88
10/28/2011,81.53
11/2/2011,77.39
11/17/2011,81.53
11/25/2011,75.55
12/6/2011,82.13
12/19/2011,79.02
1/26/2012,87.51
3/7/2012,85.24
3/16/2012,89.88
4/11/2012,85.36
5/3/2012,89.5
6/5/2012,82.59
7/2/2012,89.29
7/13/2012,86.32
7/19/2012,90.87
8/20/2012,94.0
9/11/2012,90.73
10/9/2012,95.29
11/15/2012,86.74
12/12/2012,93.72
12/31/2012,91.55
1/30/2013,101.8
4/5/2013,104.45
4/11/2013,107.86
4/30/2013,103.98
5/21/2013,112.11
6/6/2013,108.46
6/19/2013,112.96
7/3/2013,108.28
7/16/2013,114.99
7/17/2013,114.97
8/14/2013,118.9
8/28/2013,112.51
9/20/2013,121.5
10/9/2013,117.27
11/29/2013,133.51
12/3/2013,126.06
12/16/2013,126.8
12/20/2013,136.78
12/31/2013,140.0
1/14/2014,135.11
1/21/2014,138.45
2/4/2014,126.09
2/28/2014,134.19
3/14/2014,130.08
4/4/2014,136.9
4/15/2014,133.27
4/22/2014,138.5
5/13/2014,143.0
5/21/2014,139.77
6/10/2014,144.97
7/25/2014,145.66
8/6/2014,139.14
8/19/2014,144.47
9/16/2014,143.8
9/19/2014,147.42
10/2/2014,138.57
10/9/2014,141.15
10/15/2014,132.56
10/31/2014,153.83
12/5/2014,162.4
12/16/2014,157.26
12/23/2014,168.02
1/14/2015,159.04
1/23/2015,165.75
2/2/2015,162.12
2/27/2015,169.66
3/11/2015,162.7
3/23/2015,166.83
3/26/2015,162.0
3/31/2015,165.41
4/6/2015,161.66
4/10/2015,167.5
4/20/2015,163.0
4/21/2015,165.65
4/30/2015,156.82
5/15/2015,163.15
6/8/2015,156.5
6/12/2015,159.85
6/16/2015,155.49
6/23/2015,160.41
7/6/2015,153.89
7/16/2015,157.58
7/24/2015,148.86
7/31/2015,152.53
8/18/2015,148.63
8/24/2015,137.12
8/27/2015,143.75
9/1/2015,139.48
9/9/2015,144.86
9/24/2015,136.63
9/30/2015,142.52
10/2/2015,139.08
10/9/2015,149.56
10/20/2015,147.45
10/23/2015,156.54
11/3/2015,159.48
11/16/2015,155.61
12/7/2015,157.53
