Timestamp,OutboundUtilzation (%)
10/20/2017 2:31,37.8432
10/20/2017 2:36,46.5029
10/20/2017 5:11,88.0652
10/20/2017 5:16,72.3007
10/20/2017 7:51,55.9012
10/20/2017 7:56,65.9013
10/20/2017 10:36,55.5484
10/20/2017 10:41,53.6583
10/20/2017 13:16,30.4956
10/20/2017 13:21,28.1781
10/20/2017 15:56,17.4235
10/20/2017 16:01,14.5634
10/20/2017 18:36,67.0047
10/20/2017 18:41,52.8985
10/20/2017 21:16,31.2051
10/20/2017 21:21,33.4272
10/21/2017 0:06,71.4846
10/21/2017 0:11,42.6515
10/21/2017 2:51,32.0298
10/21/2017 2:56,31.8348
10/21/2017 3:06,96.4542
10/21/2017 5:46,29.6036
10/21/2017 5:51,33.2043
10/21/2017 8:31,55.0178
10/21/2017 8:36,49.7233
10/21/2017 11:11,95.2966
10/21/2017 11:16,74.9571
10/21/2017 13:51,40.3727
10/21/2017 13:56,30.3118
10/21/2017 16:31,10.9384
10/21/2017 16:36,11.0413
10/21/2017 19:11,38.5828
10/21/2017 19:16,54.0237
10/21/2017 21:51,43.1874
10/21/2017 21:56,44.8338
10/22/2017 0:31,37.0082
10/22/2017 0:36,54.7452
10/22/2017 3:16,93.2332
10/22/2017 3:21,93.4213
10/22/2017 5:56,36.0657
10/22/2017 6:01,45.2199
10/22/2017 8:41,43.9307
10/22/2017 8:46,53.3038
10/22/2017 11:21,33.8835
10/22/2017 11:26,33.6209
10/22/2017 14:01,35.7364
10/22/2017 14:06,33.1329
10/22/2017 16:41,11.5857
10/22/2017 16:46,9.69701
10/22/2017 19:21,39.1399
10/22/2017 19:26,35.7439
10/22/2017 22:01,65.1567
10/22/2017 22:06,56.4841
10/23/2017 0:41,50.2205
10/23/2017 0:46,58.3772
10/23/2017 3:21,35.442
10/23/2017 3:26,40.974
10/23/2017 6:01,40.2548
10/23/2017 6:06,61.2397
10/23/2017 8:41,58.8848
10/23/2017 8:46,65.9992
10/23/2017 11:21,58.6755
10/23/2017 11:26,57.3672
10/23/2017 14:01,23.1604
10/23/2017 14:06,33.1775
10/23/2017 16:41,16.3063
10/23/2017 16:46,22.9018
10/23/2017 19:17,40.7852
10/23/2017 19:22,40.6307
10/23/2017 21:57,44.4948
10/23/2017 22:02,37.0627
10/24/2017 0:37,83.9948
10/24/2017 0:42,77.0049
10/24/2017 3:17,71.1582
10/24/2017 3:22,78.567
10/24/2017 5:57,73.8163
10/24/2017 6:02,68.7973
10/24/2017 8:37,50.8481
10/24/2017 8:42,41.1811
10/24/2017 11:17,71.3833
10/24/2017 11:22,76.8346
10/24/2017 13:57,63.9911
10/24/2017 14:02,72.5158
10/24/2017 16:37,81.2926
10/24/2017 16:42,79.6301
10/24/2017 19:17,74.4267
10/24/2017 19:22,69.7982
10/24/2017 21:57,54.9135
10/24/2017 22:02,51.7811
10/25/2017 0:37,69.2015
10/25/2017 0:42,75.4267
10/25/2017 3:32,97.2509
10/25/2017 3:37,92.0684
10/25/2017 6:22,69.7612
10/25/2017 6:27,71.6149
10/25/2017 9:07,76.5335
10/25/2017 9:12,95.6448
10/25/2017 11:47,70.5596
10/25/2017 11:52,72.6646
10/25/2017 14:27,61.6841
10/25/2017 14:32,66.7558
10/25/2017 17:07,61.567
10/25/2017 17:12,55.7251
10/25/2017 19:47,63.6799
10/25/2017 19:52,67.6058
10/25/2017 22:27,50.7255
10/25/2017 22:32,54.7029
10/26/2017 1:37,81.1727
10/26/2017 1:42,83.8292
10/26/2017 4:47,75.7382
10/26/2017 4:52,66.8887
10/26/2017 7:27,73.5901
10/26/2017 7:32,80.0113
10/26/2017 10:12,91.2807
10/26/2017 10:17,88.5529
10/26/2017 13:02,57.873
10/26/2017 13:07,91.1465
10/26/2017 15:42,47.453
10/26/2017 15:47,38.3035
10/26/2017 18:22,53.8661
10/26/2017 18:27,52.3324
10/26/2017 21:02,62.8871
10/26/2017 21:07,60.7209
10/26/2017 23:42,60.8385
10/26/2017 23:47,68.4394
10/27/2017 2:22,70.628
10/27/2017 2:27,50.8702
10/27/2017 5:02,48.5539
