SNo,Confirmed
11329.0,1024.0
11392.0,647.0
11393.0,937.0
11456.0,22.0
11457.0,72.0
11520.0,3757.0
11521.0,712.0
11584.0,6.0
11585.0,186.0
11648.0,1072.0
11649.0,1264.0
11712.0,651.0
11713.0,937.0
11776.0,22.0
11777.0,74.0
11840.0,4077.0
11841.0,712.0
11904.0,6.0
11905.0,196.0
11968.0,1225.0
11969.0,1505.0
12032.0,126.0
12033.0,651.0
12096.0,212.0
12097.0,24.0
12160.0,4587.0
12161.0,4369.0
12224.0,227.0
12225.0,6.0
12288.0,47806.0
12289.0,52.0
12352.0,117.0
12353.0,869.0
12416.0,25.0
12417.0,407.0
12480.0,1222.0
12481.0,350.0
12544.0,3793.0
12545.0,19.0
12608.0,58.0
12609.0,105.0
12672.0,1019.0
12673.0,1101.0
12736.0,780.0
12737.0,536.0
12800.0,1780.0
12801.0,45.0
12864.0,2970.0
12865.0,9.0
12928.0,376.0
12929.0,24.0
12992.0,544.0
12993.0,1276.0
13056.0,0.0
13057.0,1.0
13120.0,730.0
13121.0,8.0
13184.0,31.0
13185.0,21.0
13248.0,10.0
13249.0,8419.0
13312.0,146.0
13313.0,168.0
13376.0,0.0
13377.0,358.0
13440.0,23.0
13441.0,3.0
13504.0,280.0
13505.0,16.0
13568.0,3.0
13569.0,153222.0
13632.0,141.0
13633.0,128.0
13696.0,18.0
13697.0,10912.0
13760.0,19638.0
13761.0,136.0
13824.0,189.0
13825.0,0.0
13888.0,1160.0
13889.0,21.0
13952.0,11485.0
13953.0,127.0
14016.0,6237.0
14017.0,1322.0
14080.0,35.0
14081.0,5.0
14144.0,533.0
14145.0,65.0
14208.0,3380.0
14209.0,11.0
14272.0,18494.0
14273.0,83.0
14336.0,5.0
14337.0,428.0
14400.0,621.0
14401.0,71.0
14464.0,71686.0
14465.0,1352.0
14528.0,0.0
14529.0,356.0
14592.0,49.0
14593.0,1875.0
14656.0,4570.0
14657.0,308.0
14720.0,14041.0
14721.0,1148.0
14784.0,1458.0
14785.0,1711.0
14848.0,127.0
14849.0,12.0
14912.0,7691.0
14913.0,13381.0
14976.0,2863.0
14977.0,195749.0
15040.0,19.0
15041.0,23.0
15104.0,47.0
15105.0,40.0
15168.0,17448.0
15169.0,3428.0
15232.0,25427.0
15233.0,54.0
15296.0,18.0
15297.0,922.0
15360.0,785.0
15361.0,494.0
15424.0,14.0
15425.0,180.0
15488.0,161.0
15489.0,11475.0
15552.0,81.0
15553.0,3.0
15616.0,11.0
15617.0,901.0
15680.0,76.0
15681.0,8.0
15744.0,348.0
15745.0,137698.0
15808.0,1019.0
15809.0,6919.0
15872.0,1620.0
15873.0,95.0
15936.0,1809.0
15937.0,3624.0
16000.0,728.0
16001.0,532.0
16064.0,3489.0
16065.0,146942.0
16128.0,627.0
16129.0,493.0
16192.0,2397.0
16193.0,3.0
16256.0,11572.0
16257.0,34402.0
16320.0,1302.0
16321.0,51.0
16384.0,1512.0
16385.0,22.0
16448.0,31.0
16449.0,31589.0
16512.0,57.0
16513.0,25.0
16576.0,45.0
16577.0,847.0
16640.0,11.0
16641.0,0.0
16704.0,3144.0
16705.0,201.0
16768.0,308.0
16769.0,2855.0
16832.0,256.0
16833.0,268.0
16896.0,1905.0
